district,date,pm2p5,greenness,total_rainfall,n_raindays,temp_min,temp_mean,temp_max,utci
Moshi,2019-08-01,18.1750000440157,0.484108232,17.7,3,16.81285582,21.41780302,26.02275021,27.7534259259259
Moshi,2019-09-01,14.2961539305173,0.491656864,5.9,2,17.99659513,22.82552828,27.65446144,31.2511111111111
Moshi,2019-10-01,19.1480770111084,0.517873802,107.7,6,18.93279117,23.60184032,28.27088947,27.2822222222222
Moshi,2019-11-01,24.1153846153846,0.597521528,138.3,10,18.53908987,23.89169534,29.24430082,28.1197222222222
Moshi,2019-12-01,41.6038458897517,0.636376691,135.6,11,19.71140542,23.36699811,27.0225908,27.6800925925926
Moshi,2020-01-01,27.2038461978619,0.589190733,118.2,8,20.47083976,25.13703984,29.80323991,28.7881481481481
Moshi,2020-02-01,26.9615383881789,0.584523679,44.4,4,20.33702347,25.50069144,30.6643594,29.3632407407407
Moshi,2020-03-01,28.9096154066233,0.580795617,235.1,16,20.16643244,25.32534215,30.48425186,28.8652777777778
Moshi,2020-04-01,25.9461538975055,0.580037878,467.1,6,17.39518155,23.42798081,29.46078007,22.6476851851852
Moshi,2020-05-01,14.2423076629639,0.64009493,101.5,10,15.23771773,20.5855849,25.93345208,25.3658333333333
Moshi,2020-06-01,16.330769263781,0.634466118,15,5,16.19465947,21.6146951,27.03473073,26.2051851851852
Moshi,2020-07-01,29.1519230695871,0.58204623,24.1,4,14.87060969,20.48193739,26.0932651,25.3217592592593
Moshi,2020-08-01,20.7134615091177,0.459580392,12.3,2,16.8171372,21.55498882,26.29284043,26.8977777777778
Moshi,2020-09-01,15.0115385055542,0.455748045,6,2,18.04156818,22.99912671,27.95668524,31.7098148148148
Moshi,2020-10-01,21.9980768790612,0.452548008,19.9,5,20.07878517,25.16148483,30.24418449,33.62
Moshi,2020-11-01,24.9134615017818,0.452941454,119.4,7,20.74410992,25.30141059,29.85871127,28.9069444444444
Moshi,2020-12-01,35.2499997065618,0.456641822,46,6,20.2518146,25.04865472,29.84549483,30.8464814814815
Moshi,2021-01-01,30.3250000660236,0.50523722,44.8,6,21.06816016,26.01495837,30.96175658,30.9453703703704
Moshi,2021-02-01,16.4461539341853,0.496355157,30,8,20.96323144,25.82725342,30.6912754,31.3059259259259
Moshi,2021-03-01,22.5576923443721,0.53946171,54.5,5,20.92462266,26.27390542,31.62318818,31.4971296296296
Moshi,2021-04-01,19.9096152599041,0.539279022,314.8,6,16.71079501,22.89935688,29.08791875,25.6489814814815
Moshi,2021-05-01,15.2115385165581,NA,254.7,1,16.501453390000002,21.18064334,25.85983329,25.1460185185185
Moshi,2021-06-01,15.6192307655628,NA,12,2,16.0918715,21.04457157,25.99727163,22.4437037037037
Moshi,2021-07-01,18.3038461024945,0.432508979,18.7,3,15.7929181,20.91567187,26.03842563,25.0044444444444
Moshi,2021-08-01,16.8557691940895,0.435423507,12.3,2,17.41484127,21.53770979,25.6605783,27.7931481481482
Moshi,2021-09-01,15.282692359044,0.439990344,5.4,2,17.75021597,22.68773371,27.62525145,30.9506481481481
Moshi,2021-10-01,19.6480769377488,0.442665341,20,3,19.40501103,24.69983759,29.99466416,32.3983333333333
Moshi,2021-11-01,20.9326923443721,0.439974899,72.4,2,20.85357183,25.93375074,31.01392964,31.9862962962963
Moshi,2021-12-01,38.3115381827721,0.444571692,96.7,1,21.75323394,25.81318997,29.87314599,29.9678703703704
Moshi,2022-01-01,21.3076923076923,NA,NA,NA,20.57651832,25.43128617,30.28605401,31.5577777777778
Moshi,2022-02-01,21.2942308279184,NA,NA,NA,21.0585787,25.74974396,30.44090921,30.0122222222222
Moshi,2022-03-01,25.4096154066233,NA,NA,NA,22.20312613,26.74833598,31.29354583,31.4300925925926
Moshi,2022-04-01,23.0596154286311,NA,NA,NA,17.69482144,23.68610051,29.67737959,29.8818518518518
Moshi,2022-05-01,13.248076915741,NA,NA,NA,16.92683203,22.38373729,27.84064256,26.0917592592593
Moshi,2022-06-01,10.4115384358626,NA,NA,NA,16.68072483,21.30080425,25.92088366,25.8580555555555
Moshi,2022-07-01,19.3326922196608,NA,NA,NA,15.23985392,20.40028196,25.56071001,25.3721296296296
Moshi,2022-08-01,13.6057692124293,NA,NA,NA,16.73086024,22.15599623,27.58113222,28.3767592592593
Moshi,2022-09-01,19.236538373507,NA,NA,NA,17.8721364,23.38581961,28.89950281,30.0924074074074
Moshi,2022-10-01,19.9423077289875,NA,NA,NA,19.81359353,24.69656963,29.57954572,33.3587037037037
