district,date,pm2p5,temp_min,temp_mean,temp_max,utci,total_rainfall,greenness,n_raindays
Moshi,2017-03-01,22.1884615971492,20.18662726,25.85474233,31.52285739,31.9471296296296,63.6,0.375195489,9
Moshi,2017-04-01,21.0211538901696,18.70633891,24.18750285,29.66866679,27.6563888888889,276.8,0.387245285,4
Moshi,2017-05-01,17.1403846740723,15.79538438,21.00891365,26.22244293,25.3872222222222,187.8,0.45603994537214404,15
Moshi,2017-06-01,7.5711538699957,14.93340422,20.70020842,26.46701261,24.8466666666667,14.4,0.4981479829659721,3
Moshi,2017-07-01,19.7346153259277,15.47497007,20.82913908,26.18330808,25.5963888888889,17.7,0.473741202,3
Moshi,2017-08-01,11.7461538865016,17.64052176,22.6142976,27.58807343,27.6287962962963,26.3,0.47206864,4
Moshi,2017-09-01,11.3326924213996,17.19508382,22.58725794,27.97943205,31.8352777777778,14.7,0.471488227,3
Moshi,2017-10-01,15.3365384615385,19.53798168,25.0645148,30.59104793,33.6691666666667,21.2,0.469696501,3
Moshi,2017-11-01,23.2346154359671,18.61107845,23.73861822,28.86615799,29.5362962962963,124.8,0.468236699,3
Moshi,2017-12-01,34.6807688199557,20.78365418,26.24809517,31.71253616,32.7544444444444,38.1,0.453888561,1
Moshi,2018-01-01,24.4480770551241,21.08786238,25.19539842,29.30293446,30.9278703703704,63.9,0.504155639,5
Moshi,2018-02-01,18.6769232016343,20.63655941,25.56908418,30.50160895,32.5078703703704,17.7,0.505731031,3
Moshi,2018-03-01,25.3653846887442,19.41181029,24.64222499,29.87263969,30.3351851851852,269.2,0.504992685,18
Moshi,2018-04-01,21.2403847621037,19.36425327,24.70038784,30.03652242,6.66833333333333,603.9,0.386084213,15
Moshi,2018-05-01,14.0557692234333,15.94807088,21.31581484,26.6835588,25.6637962962963,176.3,0.602193395,1
Moshi,2018-06-01,13.5961538644937,15.06012603,20.04693176,25.03373748,24.2605555555556,27.9,0.602192074,4
Moshi,2018-07-01,20.8826923370361,14.70482756,19.81299864,24.92116972,25.3108333333333,20.9,0.503175826,3
Moshi,2018-08-01,14.9057692197653,16.77824751,21.7105055,26.64276348,26.5902777777778,13.4,0.477149196,3
Moshi,2018-09-01,16.0942307802347,17.4776933,21.86687598,26.25605866,30.7591666666667,14,0.46902452,3
Moshi,2018-10-01,23.7942308645982,19.28919914,24.49521137,29.7012236,31.2131481481481,61.4,0.455772641,7
Moshi,2018-11-01,21.2923075235807,19.76548071,24.28683581,28.80819091,30.5525,62.1,0.454201475,7
Moshi,2018-12-01,33.2576923003564,21.18036665,25.955376,30.73038536,31.1430555555556,116.8,0.44325555,7
Moshi,2019-01-01,24.83269236638,20.63157753,25.26482711,29.89807669,30.877037037037,55.9,0.462208631,4
Moshi,2019-02-01,21.4730768937331,21.8774787,26.2988972,30.7203157,32.4067592592593,42.3,0.45934195,2
Moshi,2019-03-01,19.9173076702998,22.00543925,27.10701166,32.20858406,33.8124074074074,36.5,0.431515516,5
Moshi,2019-04-01,13.1000001063714,19.24308798,24.57046862,29.89784926,31.7785185185185,327.6,0.422402355,9
Moshi,2019-05-01,16.7211539195134,16.20434405,21.51152086,26.81869768,24.9223148148148,264.3,0.420441284,1
Moshi,2019-06-01,9.11346151278569,15.56224022,20.16171955,24.76119887,24.7522222222222,28.8,0.631080486,5
Moshi,2019-07-01,27.5711538975055,14.62995691,20.30974126,25.9895256,26.577962962963,46.7,0.59205918,6
