"","District","value.ID","value.O3_column_number_density","month","year","o3"
"188","moshi",1,115928.46875,"12","2018","O3"
"189","moshi",1,115972,"12","2018","O3"
"190","moshi",1,115413.453125,"12","2018","O3"
"191","moshi",1,115413.453125,"12","2018","O3"
"192","moshi",1,115395.125,"12","2018","O3"
"193","moshi",1,115395.125,"12","2018","O3"
"194","moshi",1,115547.609375,"12","2018","O3"
"195","moshi",1,115644.84375,"12","2018","O3"
"196","moshi",1,115543.171875,"12","2018","O3"
"197","moshi",1,115676.1484375,"12","2018","O3"
"198","moshi",1,115972,"12","2018","O3"
"199","moshi",1,115972,"12","2018","O3"
"200","moshi",1,115983.09375,"12","2018","O3"
"201","moshi",1,115597.7421875,"12","2018","O3"
"202","moshi",1,115597.7421875,"12","2018","O3"
"203","moshi",1,115840.1640625,"12","2018","O3"
"204","moshi",1,115772.703125,"12","2018","O3"
"205","moshi",1,115675.265625,"12","2018","O3"
"206","moshi",1,115769.3515625,"12","2018","O3"
"207","moshi",1,115644.84375,"12","2018","O3"
"208","moshi",1,115804.515625,"12","2018","O3"
"209","moshi",1,115972,"12","2018","O3"
"210","moshi",1,115972,"12","2018","O3"
"211","moshi",1,115983.09375,"12","2018","O3"
"212","moshi",1,115597.7421875,"12","2018","O3"
"213","moshi",1,115597.7421875,"12","2018","O3"
"214","moshi",1,115840.1640625,"12","2018","O3"
"215","moshi",1,115772.703125,"12","2018","O3"
"216","moshi",1,115675.265625,"12","2018","O3"
"217","moshi",1,115769.3515625,"12","2018","O3"
"218","moshi",1,115644.84375,"12","2018","O3"
"219","moshi",1,116147.734375,"12","2018","O3"
"220","moshi",1,116034.765625,"12","2018","O3"
"221","moshi",1,115972,"12","2018","O3"
"222","moshi",1,115972,"12","2018","O3"
"223","moshi",1,115939.6015625,"12","2018","O3"
"224","moshi",1,115928.46875,"12","2018","O3"
"225","moshi",1,116050.203125,"12","2018","O3"
"226","moshi",1,116050.203125,"12","2018","O3"
"227","moshi",1,116154.3828125,"12","2018","O3"
"228","moshi",1,115983.09375,"12","2018","O3"
"229","moshi",1,116423.25,"01","2019","O3"
"230","moshi",1,116805.2890625,"01","2019","O3"
"231","moshi",1,116924.453125,"01","2019","O3"
"232","moshi",1,116964.125,"01","2019","O3"
"233","moshi",1,116964.125,"01","2019","O3"
"234","moshi",1,116786.5546875,"01","2019","O3"
"235","moshi",1,116924.453125,"01","2019","O3"
"236","moshi",1,116924.453125,"01","2019","O3"
"237","moshi",1,116970.71875,"01","2019","O3"
"238","moshi",1,116970.71875,"01","2019","O3"
"239","moshi",1,116638.5546875,"01","2019","O3"
"240","moshi",1,116649.640625,"01","2019","O3"
"241","moshi",1,116774.3125,"01","2019","O3"
"242","moshi",1,117259.953125,"01","2019","O3"
"243","moshi",1,116924.453125,"01","2019","O3"
"244","moshi",1,116924.453125,"01","2019","O3"
"245","moshi",1,117486.4609375,"01","2019","O3"
"246","moshi",1,117530.59375,"01","2019","O3"
"247","moshi",1,117530.59375,"01","2019","O3"
"248","moshi",1,117530.59375,"01","2019","O3"
"249","moshi",1,117668.8515625,"01","2019","O3"
"250","moshi",1,117668.8515625,"01","2019","O3"
"251","moshi",1,117668.8515625,"01","2019","O3"
"252","moshi",1,117668.8515625,"01","2019","O3"
"253","moshi",1,117668.8515625,"01","2019","O3"
"254","moshi",1,117523.6171875,"01","2019","O3"
"255","moshi",1,117249.8125,"01","2019","O3"
"256","moshi",1,117530.59375,"01","2019","O3"
"257","moshi",1,117530.59375,"01","2019","O3"
"258","moshi",1,117530.59375,"01","2019","O3"
"259","moshi",1,117530.59375,"01","2019","O3"
"260","moshi",1,117637.1484375,"01","2019","O3"
"261","moshi",1,117668.8515625,"01","2019","O3"
"262","moshi",1,117668.8515625,"01","2019","O3"
