"","District","value.ID","value.absorbing_aerosol_index","month","year"
"198","moshi",1,-1.01134562492371,"10","2018"
"199","moshi",1,-1.01134562492371,"10","2018"
"200","moshi",1,-0.955284774303436,"10","2018"
"201","moshi",1,-0.89898419380188,"10","2018"
"202","moshi",1,-0.89898419380188,"10","2018"
"203","moshi",1,-0.89898419380188,"10","2018"
"204","moshi",1,-0.875172078609467,"10","2018"
"205","moshi",1,-0.885037362575531,"10","2018"
"206","moshi",1,-0.875172078609467,"10","2018"
"207","moshi",1,-0.89898419380188,"10","2018"
"208","moshi",1,-0.75692081451416,"10","2018"
"209","moshi",1,-1.01134562492371,"10","2018"
"210","moshi",1,-1.01134562492371,"10","2018"
"211","moshi",1,-0.955284774303436,"10","2018"
"212","moshi",1,-0.89898419380188,"10","2018"
"213","moshi",1,-0.89898419380188,"10","2018"
"214","moshi",1,-0.89898419380188,"10","2018"
"215","moshi",1,-0.875172078609467,"10","2018"
"216","moshi",1,-0.885037362575531,"10","2018"
"217","moshi",1,-0.875172078609467,"10","2018"
"218","moshi",1,-0.89898419380188,"10","2018"
"219","moshi",1,-1.01134562492371,"10","2018"
"220","moshi",1,-0.986991047859192,"10","2018"
"221","moshi",1,-1.03743040561676,"10","2018"
"222","moshi",1,-1.03743040561676,"10","2018"
"223","moshi",1,-1.03743040561676,"10","2018"
"224","moshi",1,-1.03743040561676,"10","2018"
"225","moshi",1,-1.03743040561676,"10","2018"
"226","moshi",1,-1.03743040561676,"10","2018"
"227","moshi",1,-1.03743040561676,"10","2018"
"228","moshi",1,-0.978879511356354,"10","2018"
"229","moshi",1,-1.00666642189026,"11","2018"
"230","moshi",1,-1.01733446121216,"11","2018"
"231","moshi",1,-1.02519130706787,"11","2018"
"232","moshi",1,-1.01733446121216,"11","2018"
"233","moshi",1,-1.01733446121216,"11","2018"
"234","moshi",1,-1.17586970329285,"11","2018"
"235","moshi",1,-1.11470091342926,"11","2018"
"236","moshi",1,-1.21157836914062,"11","2018"
"237","moshi",1,-1.28586184978485,"11","2018"
"238","moshi",1,-1.28586184978485,"11","2018"
"239","moshi",1,-1.34414982795715,"11","2018"
"240","moshi",1,-1.37636852264404,"11","2018"
"241","moshi",1,-1.37636852264404,"11","2018"
"242","moshi",1,-1.39801204204559,"11","2018"
"243","moshi",1,-1.3257771730423,"11","2018"
"244","moshi",1,-1.3257771730423,"11","2018"
"245","moshi",1,-1.2857438325882,"11","2018"
"246","moshi",1,-1.278724193573,"11","2018"
"247","moshi",1,-1.22917413711548,"11","2018"
"248","moshi",1,-1.22917413711548,"11","2018"
"249","moshi",1,-1.15304899215698,"11","2018"
"250","moshi",1,-1.25518357753754,"11","2018"
"251","moshi",1,-1.22667324542999,"11","2018"
"252","moshi",1,-1.38664245605469,"11","2018"
"253","moshi",1,-1.46642088890076,"11","2018"
"254","moshi",1,-1.511026263237,"11","2018"
"255","moshi",1,-1.29560089111328,"11","2018"
"256","moshi",1,-1.14982497692108,"11","2018"
"257","moshi",1,-1.09232127666473,"11","2018"
"258","moshi",1,-1.09211194515228,"11","2018"
"259","moshi",1,-1.09211194515228,"11","2018"
"260","moshi",1,-1.07864546775818,"11","2018"
"261","moshi",1,-1.19806790351868,"11","2018"
"262","moshi",1,-1.2239898443222,"11","2018"
"263","moshi",1,-1.36060154438019,"11","2018"
"264","moshi",1,-1.4109114408493,"11","2018"
"265","moshi",1,-1.51912152767181,"11","2018"
"266","moshi",1,-1.29560089111328,"11","2018"
"267","moshi",1,-1.14982497692108,"11","2018"
"268","moshi",1,-1.09232127666473,"11","2018"
"269","moshi",1,-1.09211194515228,"11","2018"
"270","moshi",1,-1.09211194515228,"11","2018"
"271","moshi",1,-1.07864546775818,"11","2018"
"272","moshi",1,-1.19806790351868,"11","2018"
"273","moshi",1,-1.2239898443222,"11","2018"
"274","moshi",1,-1.36060154438019,"11","2018"
"275","moshi",1,-1.4109114408493,"11","2018"
"276","moshi",1,-1.12580692768097,"11","2018"
"277","moshi",1,-1.09232127666473,"11","2018"
"278","moshi",1,-1.09232127666473,"11","2018"
"279","moshi",1,-1.09232127666473,"11","2018"
"280","moshi",1,-1.08146619796753,"11","2018"
"281","moshi",1,-1.13681745529175,"11","2018"
"282","moshi",1,-1.0578191280365,"11","2018"
"283","moshi",1,-1.0578191280365,"11","2018"
"284","moshi",1,-1.0578191280365,"11","2018"
"285","moshi",1,-1.09849154949188,"11","2018"
